SURFACE_TYPE,NAME,SHAPE.AREA,SHAPE.LEN
garden,The Bosque,2792.8877685,212.14132539209
plaza,Money & Raymond M.C. Lee Square,2888.0587605150004,244.08173821497502
garden - small,Buchanan Courtyard - West,2425.099817655,214.07580859394602
plaza,University Commons,7628.70374164,427.14160401785205
garden,Botanical Garden,57123.887605745,1282.0488538695101
garden - small,Yosef Wosk Reflecting Pool,8221.06752703,384.27556352155
garden,Totem Field,44075.35449023,1114.4069800401398
garden,Fairview Commons,3073.8313304,224.51861526292
plaza,Student Union Green,4018.379590265,256.17460901565397
garden - small,Buchanan Courtyard - East,3399.99435732,238.506445030391
garden - small,Koerner - North,1990.20772524,224.10812460088601
garden - small,Koerner - South,1483.65442675,198.319482245541
garden,Botanical Garden,118267.451475695,2542.98957510036
garden,The Bosque,3878.98534768,257.534562977785
garden,Fairview Grove,2676.9683389,254.57728461136801
garden,Scarfe Garden,1166.769762975,194.175634068875
garden,Iona Green,5061.47013859,445.89062408914003
garden,Patient Park,3467.33501152,239.312768954753
garden,Pharmacy Knoll,1562.5027911,151.23940725526802
garden,The Knoll,1069.86200821,127.59389451467901
garden,East Campus Park,10565.16276802,516.221186940998
garden,UBC Farm,118320.55237534,1520.28087064238
garden,St Andrew's Common,1710.57644432,235.911136920048
garden,Totem Park,11275.89781399,432.59754112314505
field,Thunderbird Park,170791.61172242,1646.1790622238
field,Thunderbird Stadium,27200.506178915,614.846039870134
garden - small,First Nations Garden,5445.92889913,602.827461158456
garden - small,Asian Culture Garden,9969.765502905,757.1266769176841
plaza,Wyman Plaza,965.34802848,124.75379388737801
plaza,Norman MacKenzie Square,1044.13235108,134.362904594222
plaza,Martha Piper Plaza,1506.10833634,155.37992374454703
plaza,Flagpole Plaza,2669.1254265,206.99707849146102
garden,Ropes Course,9016.483540865,381.554326046452
plaza,Koerner Plaza,2951.194364205,261.766626721973
garden - small,Beaty Garden,1740.0131992,173.24240061287801
garden,Rhododendron Wood,15725.23961963,511.902411954362
garden,Acadia Park ,1876.26685711,176.419723404123
garden,Library Garden,18232.06171386,608.235088570744
garden,Epiphany Chapel,2083.31711716,194.233851024191
garden,Rose Garden,2420.374636,199.34198867524702
garden,Khorana Park ,4322.662424735,312.828071763032
garden - small,Engineering Courtyard,970.45311501,124.817452328407
garden,Michael Smith Park,7087.40104106,329.464922143396
garden - small,Health Sciences Courtyard,3714.3088281550004,311.37955935582403
garden,Jim Taylor Park,6210.326215835,317.95757984406805
garden,Hawthorn Park,3028.322272765,245.566057631149
garden,Eagles Park,3186.353536755,273.312156136539
garden - small,Dentristry Courtyard,4482.418973225,325.157984318602
garden,Sauder Family Garden,580.26315408,104.460934896476
garden,South Commons,5098.547552955,265.04036164495
garden,Brockhouse Park,19386.09983414,606.635494108191
garden,Mundell Park,4269.39230004,253.93739059776402
garden,Nobel Park,10682.68064076,477.857452584803
garden,Research Ponds,14564.295677215001,492.010618163574
garden,Nitobe Memorial Garden,8687.35048194,411.659693844047
